USPS,GEOID,ANSICODE,NAME,INTPTLAT,INTPTLONG,DRIVING_TIME,POP_1990,POP_2000,POP_2010,POP_2014,SNAP_2010,FOOD_INSECURITY,POVERTY
OH,39001,1074014,Adams County,38.841681,-83.474173,5700,25371,27303,28550,28129,6566,18.60%,
OH,39003,1074015,Allen County,40.771528,-84.106546,419,109755,108464,106331,10540,13644,17.30%,
OH,39005,1074016,Ashland County,40.843274,-82.270121,2904,47507,52516,53139,5335,5308,15.10%,
OH,39007,1074017,Ashtabula County,41.906644,-80.745641,3688,99880,102681,101497,99175,18567,16.80%,
OH,39009,1074018,Athens County,39.333848,-82.046008,1834,59549,62193,64773,64713,9470,20.50%,
OH,39011,1074019,Auglaize County,40.561309,-84.224018,1212,44585,46230,45949,45841,3987,12.40%,
OH,39013,1065575,Belmont County,40.017682,-80.967727,7796,7174,70239,70400,69461,9276,15.30%,
OH,39015,1074020,Brown County,38.931377,-83.866772,3739,34966,42261,44846,44116,6357,15.20%,
OH,39017,1074021,Butler County,39.439915,-84.565397,1179,291479,332341,368130,374158,40314,14.60%,
OH,39019,1074022,Carroll County,40.579884,-81.090787,4053,26521,28822,28836,28187,3714,14.60%,
OH,39021,1074023,Champaign County,40.132759,-83.767542,1614,3619,38904,4097,39128,4659,14.20%,
OH,39023,1074024,Clark County,39.917032,-83.783676,215,147538,144742,138333,136554,24145,16.60%,
OH,39025,1074025,Clermont County,39.052084,-84.149614,2572,15094,177322,197363,201560,17832,13.20%,
OH,39027,1074026,Clinton County,39.414041,-83.814542,3197,35444,40473,4237,41835,5664,17.30%,
OH,39029,1074027,Columbiana County,40.768462,-80.777231,2415,108276,11250,107841,105686,16423,15.90%,
OH,39031,1074028,Coshocton County,40.29672,-81.930112,5768,35427,36654,36901,36516,6161,16.60%,
OH,39033,1074029,Crawford County,40.848508,-82.924771,4862,47870,46909,43784,42480,7333,16.40%,
OH,39035,1074030,Cuyahoga County,41.760392,-81.724217,490,1412140,1393871,1280109,1259828,230134,19.00%,
OH,39037,1074031,Darke County,40.132176,-84.620438,3506,53617,53313,52959,52196,4254,14.20%,
OH,39039,1074032,Defiance County,41.321679,-84.486433,4736,39350,39502,3935,38510,4881,13.30%,
OH,39041,1074033,Delaware County,40.278941,-83.007462,2498,66929,109974,174189,189113,7194,9.90%,
OH,39043,1074034,Erie County,41.554006,-82.525897,8639,76781,79623,7779,75828,9860,15.50%,
OH,39045,1074035,Fairfield County,39.752935,-82.628276,2023,103468,122943,146152,150381,16345,13.90%,
OH,39047,1074036,Fayette County,39.553845,-83.459327,2939,27466,28474,2930,28800,4586,16.80%,
OH,39049,1074037,Franklin County,39.969447,-83.008258,705,961437,1068736,1163543,1231393,175903,17.90%,
OH,39051,1074038,Fulton County,41.597264,-84.124267,2830,38498,4251,42698,42580,3705,12.80%,
OH,39053,1074039,Gallia County,38.817046,-82.301746,5563,30954,3158,30934,30397,6372,16.20%,
OH,39055,1074040,Geauga County,41.499322,-81.173505,2649,8187,90935,93410,94295,3043,11.20%,
OH,39057,1074041,Greene County,39.687479,-83.894894,1509,136731,147931,161569,163820,11828,15.30%,
OH,39059,1074042,Guernsey County,40.056665,-81.497875,5444,3924,40813,4087,39590,7589,16.60%,
OH,39061,1074043,Hamilton County,39.196927,-84.544187,867,866228,845289,802374,806631,111283,18.60%,
OH,39063,1074044,Hancock County,41.000471,-83.666034,2495,65536,71303,74782,75337,6862,13.70%,
OH,39065,1074045,Hardin County,40.660415,-83.664077,2347,31111,31966,3258,31796,3239,16.10%,
OH,39067,1074046,Harrison County,40.292318,-81.091565,5495,1685,15847,15864,15543,2559,15.80%,
OH,39069,1074047,Henry County,41.335072,-84.065882,3315,29108,29202,28215,27937,2511,13.30%,
OH,39071,1074048,Highland County,39.184488,-83.603668,4959,35728,40853,43589,4345,8211,17.50%,
OH,39073,1074049,Hocking County,39.490342,-82.483445,970,25533,28263,29375,28725,5162,15.20%,
OH,39075,1074050,Holmes County,40.565309,-81.929869,4578,32849,38940,42366,43898,1845,13.60%,
OH,39077,1074051,Huron County,41.14508,-82.594641,3342,56238,59447,59626,58714,7968,15.70%,
OH,39079,1074052,Jackson County,39.013477,-82.614142,4038,30230,32653,33225,32748,7008,18.60%,
OH,39081,1074053,Jefferson County,40.399188,-80.76141,5642,80298,73886,69709,67694,11263,17.30%,
OH,39083,1074054,Knox County,40.40362,-82.422393,4949,47473,54482,60930,61167,7114,14.50%,
OH,39085,1074055,Lake County,41.924116,-81.392643,1814,215500,227482,23038,229230,18204,13.10%,
OH,39087,1074056,Lawrence County,38.603866,-82.517186,7935,61834,62330,62450,61623,12843,16.10%,
OH,39089,1074057,Licking County,40.093609,-82.481251,3440,128300,145699,166482,169390,19112,14.10%,
OH,39091,1074058,Logan County,40.387553,-83.766343,2965,42310,462,45858,45507,6597,14.60%,
OH,39093,1074059,Lorain County,41.438805,-82.179722,839,271126,284657,301356,304216,37349,14.90%,
OH,39095,1074060,Lucas County,41.682321,-83.468867,714,462361,45593,441815,435286,81653,18.70%,
OH,39097,1074061,Madison County,39.896607,-83.400885,1737,3778,40210,43430,43918,4563,14.30%,
OH,39099,1074062,Mahoning County,41.01088,-80.770396,1156,264806,257588,238823,233204,41166,17.20%,
OH,39101,1074063,Marion County,40.588208,-83.172927,4264,64274,66198,66501,65720,10887,16.60%,
OH,39103,1074064,Medina County,41.116051,-81.899566,1950,122354,15196,172333,17629,9153,11.80%,
OH,39105,1074065,Meigs County,39.089807,-82.028397,3288,22987,2358,23771,23331,5111,18.50%,
OH,39107,1074066,Mercer County,40.535333,-84.632059,2881,39443,40936,40814,40831,2807,11.50%,
OH,39109,1074067,Miami County,40.053326,-84.228413,1660,93184,98899,102506,103900,8057,14.60%,
OH,39111,1074068,Monroe County,39.725969,-81.090658,9483,15497,15172,14642,14465,2118,17.40%,
OH,39113,1074069,Montgomery County,39.755218,-84.290545,483,573809,559141,535141,533116,78269,18.50%,
OH,39115,1074070,Morgan County,39.624946,-81.861699,4374,14194,14947,1548,14843,2394,18.10%,
OH,39117,1074071,Morrow County,40.525266,-82.797729,3922,27749,31646,34827,35152,4603,13.60%,
OH,39119,1074072,Muskingum County,39.966046,-81.943506,4367,8268,84549,8674,85818,18051,17.70%,
OH,39121,1074073,Noble County,39.767232,-81.452604,6971,11336,1458,14645,14363,1510,16.10%,
OH,39123,1074074,Ottawa County,41.544467,-83.009253,2881,4029,40974,41434,41154,3806,14.20%,
OH,39125,1074075,Paulding County,41.119141,-84.576966,4082,20488,20297,19614,18989,2510,13.50%,
OH,39127,1074076,Perry County,39.743187,-82.237952,2303,31557,3452,3652,35812,6915,17.20%,
OH,39129,1074077,Pickaway County,39.648947,-83.052827,2598,48248,52728,55698,56876,7371,14.60%,
OH,39131,1074078,Pike County,39.071365,-83.052921,5036,24249,27628,28709,28256,6939,19.30%,
OH,39133,1074079,Portage County,41.16864,-81.196932,1732,142585,152126,161421,161882,14659,15.60%,
OH,39135,1074080,Preble County,39.737906,-84.645358,2487,40113,42340,42270,41586,4418,14.10%,
OH,39137,1074081,Putnam County,41.024533,-84.129879,2505,33819,34722,34499,34171,2288,10.70%,
OH,39139,1074082,Richland County,40.774167,-82.542715,4074,126137,128932,124475,121942,18130,16.80%,
OH,39141,1074083,Ross County,39.323762,-83.059585,3893,69330,73382,7864,77159,14691,16.90%,
OH,39143,1074084,Sandusky County,41.355291,-83.142735,2781,61963,61797,60944,60179,6501,13.60%,
OH,39145,1074085,Scioto County,38.815019,-82.999028,6104,80327,79215,79499,77258,18369,19.40%,
OH,39147,1074086,Seneca County,41.120008,-83.127436,4654,59733,58663,56745,55669,7738,14.80%,
OH,39149,1074087,Shelby County,40.33668,-84.204142,2272,44915,48292,49423,48951,4798,13.60%,
OH,39151,1065576,Stark County,40.814131,-81.365667,1686,367585,378144,375584,375736,49995,15.90%,
OH,39153,1074088,Summit County,41.121851,-81.534936,517,514990,542849,541786,541943,73291,16.50%,
OH,39155,1074089,Trumbull County,41.308936,-80.767656,1627,227795,225105,210307,205175,29279,16.70%,
OH,39157,1074090,Tuscarawas County,40.447441,-81.471157,3572,8490,90919,92582,92788,12340,14.50%,
OH,39159,1074091,Union County,40.295901,-83.367042,2723,31969,40975,52267,53776,3440,12.10%,
OH,39161,1074092,Van Wert County,40.85552,-84.585775,2736,30464,29654,28744,28462,2817,13.60%,
OH,39163,1074093,Vinton County,39.252014,-82.485961,2262,1198,12809,13435,13234,3514,17.60%,
OH,39165,1074094,Warren County,39.425652,-84.169906,2043,113973,159551,212868,221659,8600,11.60%,
OH,39167,1074095,Washington County,39.450684,-81.490653,5791,62254,63242,61778,61213,7215,14.80%,
OH,39169,1074096,Wayne County,40.829661,-81.887194,2552,101461,111562,114514,115537,11409,13.80%,
OH,39171,1074097,Williams County,41.564958,-84.584323,4339,36956,39189,37642,37291,4845,14.20%,
OH,39173,1074098,Wood County,41.360183,-83.622682,1717,113269,12172,125488,129590,7660,14.80%,
OH,39175,1074099,Wyandot County,40.840122,-83.313172,3327,22254,22897,22615,22353,1862,14.10%,